,type,id,lat,lon,tags_amenity,tags_name,tags_addr:city,tags_addr:housenumber,tags_addr:postcode,tags_addr:street,tags_fax,tags_internet_access,tags_operator,tags_phone,tags_rooms,tags_source:pkey,tags_stars,tags_tourism,tags_website,tags_ref:gds:amadeus,tags_ref:gds:galileo,tags_ref:gds:sabre,tags_ref:gds:worldspan,tags_wheelchair,tags_source,tags_wikidata,tags_wikipedia,tags_internet_access:fee,tags_addr:unit,tags_ref:rnt,tags_smoking,tags_addr:country,tags_addr:place,tags_cuisine,tags_menu:url,tags_name:zh,tags_opening_hours,tags_shop,tags_start_date,tags_toilets:wheelchair,tags_description,tags_email,tags_name:ca,tags_name:es,tags_name:pt,tags_url,tags_information,tags_note,tags_fixme,tags_artist_name,tags_artwork_subject,tags_exhibit,tags_historic,tags_material,tags_subject:wikidata,tags_subject:wikipedia,tags_atm,tags_name:en,tags_public_transport,tags_tourist_train,tags_outdoor_seating,tags_addr:housename,tags_artwork_type,tags_memorial,tags_name:de,tags_contact:email,tags_contact:fax,tags_contact:phone,tags_contact:website,tags_museum,tags_name:pl,tags_alt_name,tags_wheelchair:description,tags_diet:vegetarian,tags_int_name,tags_old_name,tags_name:fr,tags_ref:gds:dhisco,tags_addr:flats,tags_brand,tags_brand:wikidata,tags_brand:wikipedia,tags_facebook,tags_takeaway,tags_delivery,tags_amenity_1,tags_payment:credit_cards,tags_payment:cash,tags_diet:vegan,tags_capacity,tags_mapillary,tags_survey:date,tags_theme,tags_check_date:opening_hours,tags_music_genre,tags_guest_house,tags_opening_hours:covid19,tags_denotation,tags_genus,tags_leaf_cycle,tags_leaf_type,tags_monument,tags_natural,tags_protected,tags_species,tags_species:pt,tags_species:wikidata,tags_species:wikipedia,tags_branch,tags_name:it,tags_source:name,tags_payment:american_express,tags_payment:mastercard,tags_payment:notes,tags_payment:visa_debit,tags_payment:visa_electron,tags_contact:facebook,tags_number_of_apartments,tags_board_type,tags_map_size,tags_map_type,tags_pastelaria,tags_covered,tags_reservation,tags_building,tags_payment:bitcoin,tags_payment:litecoin,tags_changing_table,tags_ref:gds:apolo,tags_level,tags_diet:halal,tags_payment:debit_cards,tags_breakfast,tags_name:ru,tags_phone_1,tags_phone_2,tags_addr:housenumber_1,tags_drive_in,tags_microbrewery,tags_organic,tags_payment:cryptocurrencies,tags_payment:electronic_purses,tags_cod_act_econ,tags_contact:whatsapp,tags_building:levels,tags_nif:pt,tags_addr:suburb,tags_addr:district,tags_fee,tags_addr:door,tags_air_conditioning,tags_bar,tags_bicycle,tags_hiking,tags_ref,tags_craft,tags_beds,tags_contact:pinterest,tags_contact:twitter,tags_contact:youtube,tags_ref:gds:pegasus,tags_horse,tags_check_date,tags_indoor_seating,tags_parking,tags_short_name,tags_ref:vatin,tags_contact:instagram,tags_cod_post_3,tags_cod_post_4,tags_addr:floor,tags_name:signed,tags_credit_cards,tags_historic:civilization,tags_historic:period,tags_site_type,tags_aerialway,tags_denomination,tags_geological,tags_Note,tags_layer,tags_place,tags_name:nl,tags_internet_access:ssid,tags_mobile,tags_drink:wine,tags_official_name,tags_mtb,tags_contact:mobile,tags_advertising,tags_man_made,tags_toilets,tags_ele,tags_pets_allowed,tags_guidepost,tags_message,tags_attached_to,tags_guide_type,tags_height,tags_location,tags_route_marker,tags_diet:gluten_free,tags_fireplace,tags_name:ko,tags_inscription,tags_payment:maestro,tags_GlobalID,tags_bench,tags_bin,tags_bus,tags_highway,tags_shelter,tags_drinking_water,tags_departures_board,tags_information:public_transport,tags_passenger_information_display,tags_payment:coins,tags_toilets:access,tags_brewery,tags_name:ja,tags_description:en,tags_direction,tags_access,tags_content,tags_water,tags_barrier,tags_tomb,tags_diet:meat,tags_diet:omnivore,tags_diet:pescetarian,tags_payment:card,tags_destination,tags_artist:wikidata,tags_image,tags_playground,tags_source:url,tags_diet:lactose_free,tags_opening_hours:url,tags_highchair,tags_payment:app,tags_payment:cards,tags_payment:contactless,tags_payment:visa
0,node,289048230,38.7318639,-9.1522811,restaurant,Saraiva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,node,298176965,38.7213092,-9.1494002,,Hotel Jorge V,Lisboa,3,1250-165,Rua Mouzinho da Silveira,+351 213 150 319,wlan,Hotusa Hotels,+351 213 562 525,49,b945c72b-d064-404e-88fe-97febe43026e,3,hotel,www.hoteljorgev.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,node,308119709,38.7322739,-9.1492361,,Turim Lisboa Hotel,Lisboa,20,1050-113,Rua Filipe Folque,+351 213 139 419,wlan,,+351 210 330 900,56,3e035947-cf46-4f6e-8047-97969e6340b5,4,hotel,https://www.turim-hotels.com/hoteis/turim-lisboa-hotel-134,OILISLIA,OI E0053,OI 285161,OI LISIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,node,371083164,38.7243442,-9.1500561,restaurant,The Great American Disaster,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,node,376811896,38.7166133,-9.141757,restaurant,Hard Rock Cafe Lisboa,Lisboa,,,Praça dos Restauradores,,,,,,,,,,,,,,yes,knowledge,Q1092410,de:Cinema Condes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,node,379573891,38.7370692,-9.1623494,,SANA Malhoa Hotel,Lisboa,8,1099-089,Avenida José Malhoa,+351 210 061 801,wlan,,+351 210 061 800,,5d6dad93-3a4e-4bc4-a3cc-5de6e493b930,4,hotel,https://malhoa.sanahotels.com/,,,,,yes,,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,node,379573899,38.7371794,-9.1628002,,Hotel Ibis Lisboa José Malhoa,Lisboa,10,1070-158,Avenida José Malhoa,+351 217 235 701,wlan,,+351 217 235 700,211,456a8afb-41a2-48d3-96aa-244084f688e1,2,hotel,http://www.ibis.com/de/hotel-1668-ibis-lisboa-jose-malhoa/index.shtml,,,,,yes,,,,,Lote H,300,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,node,398922337,38.6974982,-9.2032527,,Pastéis de Belém,Lisboa,84-92,1300-085,Rua de Belém,,no,"Antiga Confeitaria de Belém, Lda",+351 213 637 423,,,,attraction,https://pasteisdebelem.pt,,,,,yes,,,pt:Pastéis de Belém,,,,,PT,Pasteis de Belém,regional,https://pasteisdebelem.pt/menu,貝倫蛋糕店,Mo-Su 08:00-21:00,pastry,1837,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,node,402593471,38.7305751,-9.147032,restaurant,Pizza Hut,,,,,,,,,,,,,,,,,,,knowledge,,,,,,,,,pizza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,node,402605346,38.7181699,-9.1455694,restaurant,Gioia Food Lab,,50,,,,,,,,,,,,,,,,,local_knowledge,,,,,,,,,regional,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
